dac_inputs (V),adc_outputs
0.000000,0
0.000606,0
0.001211,0
0.001817,0
0.002422,0
0.003028,0
0.003634,0
0.004239,0
0.004845,0
0.005451,0
0.006056,0
0.006662,0
0.007267,0
0.007873,0
0.008479,0
0.009084,0
0.009690,0
0.010295,0
0.010901,0
0.011507,0
0.012112,0
0.012718,0
0.013324,0
0.013929,0
0.014535,0
0.015140,0
0.015746,0
0.016352,0
0.016957,0
0.017563,0
0.018168,0
0.018774,0
0.019380,0
0.019985,0
0.020591,0
0.021197,0
0.021802,0
0.022408,0
0.023013,0
0.023619,0
0.024225,0
0.024830,0
0.025436,0
0.026042,0
0.026647,0
0.027253,0
0.027858,0
0.028464,0
0.029070,0
0.029675,0
0.030281,0
0.030886,0
0.031492,1
0.032098,0
0.032703,1
0.033309,0
0.033915,1
0.034520,1
0.035126,1
0.035731,1
0.036337,1
0.036943,1
0.037548,1
0.038154,1
0.038759,1
0.039365,2
0.039971,1
0.040576,1
0.041182,1
0.041788,1
0.042393,1
0.042999,2
0.043604,1
0.044210,2
0.044816,1
0.045421,2
0.046027,2
0.046632,2
0.047238,2
0.047844,2
0.048449,2
0.049055,2
0.049661,2
0.050266,2
0.050872,3
0.051477,3
0.052083,2
0.052689,2
0.053294,3
0.053900,3
0.054505,3
0.055111,3
0.055717,3
0.056322,3
0.056928,3
0.057534,3
0.058139,3
0.058745,4
0.059350,3
0.059956,4
0.060562,3
0.061167,4
0.061773,3
0.062379,4
0.062984,4
0.063590,4
0.064195,4
0.064801,4
0.065407,4
0.066012,5
0.066618,4
0.067223,4
0.067829,4
0.068435,4
0.069040,5
0.069646,5
0.070252,5
0.070857,5
0.071463,5
0.072068,5
0.072674,5
0.073280,6
0.073885,5
0.074491,5
0.075096,5
0.075702,5
0.076308,5
0.076913,5
0.077519,5
0.078125,5
0.078730,6
0.079336,5
0.079941,6
0.080547,6
0.081153,6
0.081758,6
0.082364,6
0.082969,6
0.083575,6
0.084181,6
0.084786,7
0.085392,7
0.085998,7
0.086603,6
0.087209,6
0.087814,6
0.088420,7
0.089026,7
0.089631,7
0.090237,6
0.090842,7
0.091448,7
0.092054,8
0.092659,7
0.093265,7
0.093871,7
0.094476,7
0.095082,7
0.095687,7
0.096293,7
0.096899,8
0.097504,8
0.098110,8
0.098716,8
0.099321,8
0.099927,8
0.100532,8
0.101138,8
0.101744,8
0.102349,8
0.102955,8
0.103560,8
0.104166,8
0.104772,9
0.105377,8
0.105983,8
0.106589,8
0.107194,9
0.107800,9
0.108405,9
0.109011,9
0.109617,9
0.110222,9
0.110828,9
0.111433,9
0.112039,9
0.112645,9
0.113250,10
0.113856,9
0.114462,9
0.115067,9
0.115673,9
0.116278,10
0.116884,9
0.117490,10
0.118095,10
0.118701,10
0.119306,10
0.119912,10
0.120518,10
0.121123,10
0.121729,11
0.122335,10
0.122940,10
0.123546,10
0.124151,11
0.124757,11
0.125363,11
0.125968,11
0.126574,10
0.127179,11
0.127785,11
0.128391,11
0.128996,10
0.129602,11
0.130208,11
0.130813,11
0.131419,12
0.132024,12
0.132630,12
0.133236,12
0.133841,12
0.134447,12
0.135053,11
0.135658,11
0.136264,12
0.136869,11
0.137475,12
0.138081,12
0.138686,12
0.139292,13
0.139897,12
0.140503,13
0.141109,13
0.141714,12
0.142320,12
0.142926,12
0.143531,14
0.144137,12
0.144742,12
0.145348,13
0.145954,13
0.146559,13
0.147165,13
0.147770,13
0.148376,13
0.148982,13
0.149587,13
0.150193,14
0.150799,14
0.151404,13
0.152010,14
0.152615,14
0.153221,13
0.153827,14
0.154432,13
0.155038,13
0.155643,14
0.156249,14
0.156855,14
0.157460,15
0.158066,14
0.158672,15
0.159277,15
0.159883,15
0.160488,15
0.161094,15
0.161700,15
0.162305,14
0.162911,14
0.163516,15
0.164122,15
0.164728,15
0.165333,15
0.165939,15
0.166545,15
0.167150,15
0.167756,16
0.168361,15
0.168967,15
0.169573,15
0.170178,16
0.170784,15
0.171389,15
0.171995,16
0.172601,15
0.173206,16
0.173812,15
0.174418,16
0.175023,16
0.175629,16
0.176234,16
0.176840,16
0.177446,16
0.178051,16
0.178657,16
0.179263,16
0.179868,16
0.180474,16
0.181079,16
0.181685,17
0.182291,17
0.182896,17
0.183502,17
0.184107,17
0.184713,18
0.185319,17
0.185924,18
0.186530,18
0.187136,17
0.187741,17
0.188347,17
0.188952,17
0.189558,18
0.190164,17
0.190769,17
0.191375,17
0.191980,18
0.192586,18
0.193192,18
0.193797,19
0.194403,18
0.195009,18
0.195614,18
0.196220,18
0.196825,18
0.197431,18
0.198037,18
0.198642,18
0.199248,19
0.199853,19
0.200459,19
0.201065,19
0.201670,19
0.202276,20
0.202882,19
0.203487,19
0.204093,20
0.204698,20
0.205304,19
0.205910,20
0.206515,19
0.207121,19
0.207726,19
0.208332,20
0.208938,19
0.209543,20
0.210149,20
0.210755,20
0.211360,20
0.211966,20
0.212571,20
0.213177,20
0.213783,20
0.214388,20
0.214994,21
0.215600,20
0.216205,21
0.216811,20
0.217416,20
0.218022,21
0.218628,21
0.219233,21
0.219839,21
0.220444,21
0.221050,21
0.221656,21
0.222261,22
0.222867,21
0.223473,21
0.224078,21
0.224684,22
0.225289,22
0.225895,22
0.226501,21
